Checkpoint,BLEU,chrF,TER,Rep_Penalty,No_Repeat_NGram
checkpoint-9000,24.2353,43.1855,63.2448,1.0,0
checkpoint-9500,25.9972,45.0311,60.4919,1.0,0
checkpoint-10000,27.0253,46.5302,59.3545,1.0,0
checkpoint-10500,28.9368,47.6438,56.1234,1.0,0
checkpoint-11000,30.1826,49.2352,55.0150,1.0,0
checkpoint-11500,31.1320,49.6568,53.8813,1.0,0
checkpoint-12000,32.7206,51.3182,51.9615,1.0,0
checkpoint-12500,33.4942,52.5101,51.0776,1.0,0
checkpoint-13000,34.7723,53.0974,49.2122,1.0,0
checkpoint-13500,35.6825,54.4745,48.3138,1.0,0
checkpoint-14000,36.7142,55.4912,46.9011,1.0,0
checkpoint-14500,37.4863,55.9518,46.3614,1.0,0
checkpoint-15000,38.2447,56.4271,45.5500,1.0,0
checkpoint-15500,38.7100,57.1022,45.1371,1.0,0
checkpoint-16000,38.9915,57.4927,44.7314,1.0,0
checkpoint-16500,40.5607,58.5092,42.8623,1.0,0
checkpoint-17000,41.6469,59.1293,41.5112,1.0,0
checkpoint-17500,41.2851,59.1425,42.2357,1.0,0
checkpoint-18000,42.0215,59.6870,41.5329,1.0,0
