lemma_kek,gloss_en,gloss_es,value
jun,one,uno,1
kiib',two,dos,2
oxib' ,three,tres,3
kaa'ib',four,cuatro,4
oob',five,cinco,5
waqib',six,seis,6
wuuqub',seven,siete,7
waqxaqib',eight,ocho,8
b'eleeb',nine,nueve,9
lajeeb',ten,diez,10
junlaju,eleven,once,11
kab'laju,twelve,doce,12
oxlaju,thirteen,trece,13
kaalaju,fourteen,catorce,14
o'laju,fifteen,quince,15
waqlaju,sixteen,dieciséis,16
wuuqlaju,seventeen,diecisiete,17
waqxaqlaju,eighteen,dieciocho,18
b'leelaju,nineteen,diecinueve,19
junmay,twenty,veinte,20
