lemma_kek,gloss_kek,gloss_en,gloss_en_past,gloss_en_pp,gloss_es,gloss_es_past_3sg,gloss_es_pp,gloss_es_gerund,category,transitivity,agent_class_any_of,agent_class_none_of,theme_class_any_of,theme_class_none_of,goal_class_any_of,goal_none_of,notes,p_weight,p_debug_percent
ayan,ayanak,agonize,,,agonizar,,,,v_emotive|v_state,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,30.199517204020175,0.012202647996961628
b’ola,b’olank,agonize,,,agonizar,,,,v_emotive|v_state,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,30.199517204020175,0.012202647996961628
sume,sumenk,answer,,,responder,,,,v_communicative,tr,human;kinship,,,,,,,2796.8338463090777,1.130110084274947
patz',patz'ok,ask,,,preguntar,,,,v_communicative|v_social,tr,human;kinship;occupation,emotion,human;kinship,,,,,3630.780547701014,1.4670809694902374
tz'aama,tz'aamank,ask,,,pedir,pidió,pedido,pidiendo,v_communicative|v_social,tr,human;kinship;occupation,emotion,human;kinship,,,,,3630.780547701014,1.4670809694902374
atin,atink,bathe,,,bañarse,bañó,bañado,,v_hygiene|v_action,intr,human;kinship,emotion,,,,,,176.46828566194998,0.07130512577444077
ch’ox,ch’oxok,beat,beat,beaten,golpear,,,,v_action|v_conflict,tr,human;kinship,emotion,human;kinship;animal_domesticated,,,,,2187.761623949552,0.8840037017136044
ch’ukib’,ch’ukib’k,beat,beat,beaten,golpear,,,,v_action|v_conflict,tr,human;kinship,emotion,human;kinship;animal_domesticated,,,,,2187.761623949552,0.8840037017136044
rap,rapok,beat,beat,beaten,golpear,,,,v_action|v_conflict,tr,human;kinship,emotion,human;kinship;animal_domesticated,,,,,2187.761623949552,0.8840037017136044
tuul,tuulank,bewitch,,,embrujar,,,,v_ritual|v_action,tr,human;kinship,emotion,human;kinship,,,,,21.87761623949552,0.008840037017136045
tiw,tiwok,bite,bit,bitten,morder,mordió,mordido,,v_action|v_conflict,tr,human;kinship;animal_domesticated;animal_wild,emotion,animal_domesticated;animal_wild;kinship,,,,,747.0218989273312,0.30184738441509223
woxq,woqxink,boil,,,hervir,hirvió,hervido,hirviendo,v_process|v_environmental|v_creation,tr,human;kinship,emotion,food;fruit;vegetable,,,,,357.5471604506213,0.14447324146994256
kanasi ib’,kanasink ib’,brag,,,jactarse,,,,v_communicative|v_social|v_emotive,intr,human;kinship;occupation,emotion,,,,,,212.16154368926846,0.08572761672453157
musqi',musiq'ak,breathe,,,respirar,,,,v_habitual|v_involuntary,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,691.8309709189363,0.2795465157435083
tz'akab',tz'akab'k,build,built,built,construir,construyó,construido,construyendo,v_creation|v_work,tr,human;kinship,emotion,artifact;building,,,,,2290.8676527677726,0.9256655126469874
b’ukub’a,b’ukub’ank,bulge,,,abultarse,,,,v_state|v_environmental|v_process,intr,body_part,,,,,,,144.5439770745928,0.05840554537366401
qix,qixb'ank,burp,,,eructar,,,,v_involuntary|v_instant,intr,human;kinship;occupation,emotion,,,,,,74.70218989273316,0.03018473844150924
loq',loq'k,buy,bought,bought,comprar,,,,v_commerce|v_social,tr,human;kinship,emotion,animal_domesticated;animal_wild;artifact;clothing;food;plant,,,,,3521.0052016845207,1.422724303218579
